               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.026141,            0.021305,           0.0020432,             0.97962,             0.99225,             0.99412,             0.79751,            0.019296,           0.0090898,          0.00093963,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025928,            0.020722,            0.001496,             0.98518,             0.98797,             0.99378,             0.77583,            0.019968,           0.0092946,          0.00093532,            0.007426,            0.007426,            0.007426
                 132,            0.029037,            0.022392,           0.0014963,             0.98747,             0.98759,             0.99318,             0.78478,             0.02076,           0.0092668,          0.00092351,           0.0074062,           0.0074062,           0.0074062
                 133,            0.025248,            0.019291,            0.001228,             0.98363,             0.99027,             0.99342,              0.7948,            0.020678,           0.0094298,          0.00086969,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028633,              0.0234,           0.0013692,             0.98512,             0.98492,             0.99386,             0.76773,            0.020687,           0.0095345,          0.00084704,           0.0073666,           0.0073666,           0.0073666
                 135,            0.026566,            0.022582,           0.0011571,             0.98323,             0.98539,             0.99414,              0.7921,            0.019388,            0.009404,          0.00083875,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027115,            0.020393,           0.0012855,             0.98682,             0.98895,             0.99401,             0.78971,            0.020372,           0.0094124,          0.00086382,            0.007327,            0.007327,            0.007327
                 137,            0.026208,             0.02142,           0.0013501,             0.98921,             0.98773,             0.99355,             0.78691,            0.019666,           0.0092613,          0.00087878,           0.0073072,           0.0073072,           0.0073072
                 138,            0.026796,            0.020881,           0.0014621,             0.99177,             0.98699,             0.99375,             0.79737,            0.019451,           0.0092609,          0.00088385,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024804,            0.018965,           0.0012927,             0.98732,             0.99464,             0.99391,             0.78271,            0.020936,           0.0092414,           0.0008763,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030628,             0.02162,           0.0011881,             0.99227,             0.99117,             0.99398,             0.76214,             0.02079,           0.0093503,          0.00085774,           0.0072478,           0.0072478,           0.0072478
                 141,            0.026428,            0.021039,           0.0012134,              0.9917,             0.99231,             0.99445,             0.80059,            0.018285,           0.0090135,          0.00080231,            0.007228,            0.007228,            0.007228
                 142,            0.025539,             0.02101,          0.00091756,             0.99008,             0.99294,             0.99454,                 0.8,            0.018922,           0.0088465,          0.00079003,           0.0072082,           0.0072082,           0.0072082
